Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
29246,INN29247,2,0,1,2,Meal Plan 1,0,Room_Type 1,302,2018,9,16,Offline,0,0,0,100.0,0,Canceled
30264,INN30265,2,0,0,4,Meal Plan 1,0,Room_Type 4,216,2018,8,30,Offline,0,0,0,86.7,0,Not_Canceled
605,INN00606,1,0,0,2,Meal Plan 1,0,Room_Type 1,91,2018,9,14,Corporate,1,1,2,65.0,0,Not_Canceled
35072,INN35073,1,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,90.0,0,Not_Canceled
16745,INN16746,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Offline,0,0,0,130.0,0,Canceled
9217,INN09218,2,0,0,2,Meal Plan 1,0,Room_Type 1,79,2017,11,13,Offline,0,0,0,75.0,0,Not_Canceled
20615,INN20616,2,0,1,1,Meal Plan 1,0,Room_Type 1,101,2018,4,9,Online,0,0,0,96.3,1,Canceled
3870,INN03871,1,0,0,1,Not Selected,0,Room_Type 1,1,2018,8,17,Online,0,0,0,78.41,0,Not_Canceled
12796,INN12797,2,0,0,2,Meal Plan 1,0,Room_Type 1,256,2018,8,26,Offline,0,0,0,72.25,1,Not_Canceled
17635,INN17636,2,0,2,4,Meal Plan 1,0,Room_Type 1,291,2018,12,28,Online,0,0,0,80.75,2,Not_Canceled
6577,INN06578,2,0,2,1,Not Selected,0,Room_Type 1,20,2018,9,11,Offline,0,0,0,85.0,0,Not_Canceled
19161,INN19162,2,0,0,1,Meal Plan 1,0,Room_Type 4,7,2018,5,21,Offline,0,0,0,107.0,0,Not_Canceled
12217,INN12218,1,0,1,1,Meal Plan 1,0,Room_Type 1,92,2018,10,3,Online,0,0,0,113.4,3,Not_Canceled
19084,INN19085,3,0,0,2,Meal Plan 1,0,Room_Type 4,109,2018,8,19,Online,0,0,0,150.3,0,Canceled
1264,INN01265,2,0,0,2,Meal Plan 1,0,Room_Type 1,127,2018,5,6,Online,0,0,0,105.3,0,Canceled
3024,INN03025,2,0,1,2,Not Selected,0,Room_Type 1,46,2018,12,16,Online,0,0,0,79.2,1,Not_Canceled
31452,INN31453,2,0,1,3,Meal Plan 1,0,Room_Type 1,144,2018,9,12,Online,0,0,0,126.9,3,Not_Canceled
22707,INN22708,2,0,0,2,Meal Plan 1,0,Room_Type 1,65,2018,3,11,Online,0,0,0,78.3,1,Not_Canceled
21500,INN21501,2,0,1,2,Not Selected,0,Room_Type 1,36,2018,11,25,Online,0,0,0,88.0,2,Not_Canceled
31246,INN31247,2,0,1,3,Meal Plan 1,0,Room_Type 1,4,2017,8,17,Online,0,0,0,122.0,3,Not_Canceled
29209,INN29210,2,0,2,2,Meal Plan 1,0,Room_Type 1,70,2018,4,22,Online,0,0,0,97.33,0,Not_Canceled
26056,INN26057,2,0,0,2,Meal Plan 1,0,Room_Type 1,4,2017,8,21,Online,0,0,0,106.0,1,Not_Canceled
20110,INN20111,2,0,2,2,Meal Plan 1,0,Room_Type 1,85,2018,8,13,Online,0,0,0,126.9,1,Not_Canceled
6376,INN06377,2,0,2,5,Meal Plan 1,0,Room_Type 4,57,2018,5,28,Online,0,0,0,140.4,1,Canceled
14999,INN15000,2,0,0,2,Meal Plan 1,0,Room_Type 1,5,2018,2,12,Online,0,0,0,91.0,1,Canceled
16844,INN16845,2,2,0,1,Meal Plan 1,0,Room_Type 6,25,2018,10,13,Online,0,0,0,229.0,2,Not_Canceled
20253,INN20254,2,0,1,3,Meal Plan 1,0,Room_Type 4,61,2018,3,21,Online,0,0,0,102.0,0,Not_Canceled
6959,INN06960,2,0,2,2,Not Selected,0,Room_Type 1,134,2018,6,5,Online,0,0,0,109.65,1,Not_Canceled
14248,INN14249,1,0,1,1,Not Selected,0,Room_Type 1,3,2018,6,27,Offline,0,0,0,124.0,0,Not_Canceled
6932,INN06933,2,0,0,5,Meal Plan 1,0,Room_Type 1,140,2017,12,29,Offline,0,0,0,70.0,0,Not_Canceled
31806,INN31807,2,0,2,1,Meal Plan 1,0,Room_Type 1,19,2017,12,5,Online,0,0,0,69.0,2,Not_Canceled
12838,INN12839,2,0,0,3,Meal Plan 1,0,Room_Type 1,64,2018,9,28,Offline,0,0,0,101.52,0,Not_Canceled
31674,INN31675,2,1,0,2,Meal Plan 1,0,Room_Type 1,155,2018,8,16,Online,0,0,0,130.5,0,Canceled
35156,INN35157,2,0,0,3,Meal Plan 1,0,Room_Type 4,13,2018,6,2,Online,0,0,0,152.67,0,Canceled
32380,INN32381,1,0,0,1,Meal Plan 1,0,Room_Type 5,0,2018,9,8,Complementary,1,0,29,0.0,4,Not_Canceled
27742,INN27743,2,0,0,3,Meal Plan 1,0,Room_Type 1,259,2018,5,5,Offline,0,0,0,90.0,0,Canceled
24523,INN24524,1,0,1,2,Not Selected,0,Room_Type 1,35,2018,4,22,Online,0,0,0,94.5,1,Not_Canceled
18641,INN18642,2,0,2,2,Meal Plan 1,0,Room_Type 1,106,2018,5,21,Online,0,0,0,120.28,0,Canceled
31814,INN31815,0,2,0,3,Meal Plan 1,0,Room_Type 2,85,2018,7,26,Online,0,0,0,106.54,1,Not_Canceled
31617,INN31618,1,0,2,1,Meal Plan 1,0,Room_Type 1,34,2018,6,19,Offline,0,0,0,81.0,0,Canceled
28508,INN28509,1,0,1,1,Meal Plan 1,0,Room_Type 1,4,2018,5,2,Corporate,0,0,0,95.0,0,Not_Canceled
15448,INN15449,2,0,0,1,Not Selected,0,Room_Type 1,109,2018,10,11,Online,0,0,0,108.0,0,Canceled
28623,INN28624,2,0,1,3,Meal Plan 1,0,Room_Type 1,127,2018,4,28,Offline,0,0,0,90.0,0,Not_Canceled
22596,INN22597,1,0,0,1,Not Selected,0,Room_Type 1,37,2018,5,13,Online,0,0,0,116.1,0,Not_Canceled
24106,INN24107,2,0,2,4,Meal Plan 1,0,Room_Type 4,258,2018,8,18,Offline,0,0,0,82.44,0,Not_Canceled
21275,INN21276,3,0,0,1,Meal Plan 1,1,Room_Type 4,186,2018,8,27,Online,0,0,0,137.7,0,Canceled
8583,INN08584,2,0,0,2,Not Selected,0,Room_Type 1,18,2018,7,15,Online,0,0,0,139.0,1,Canceled
10239,INN10240,2,0,1,0,Not Selected,0,Room_Type 1,27,2018,6,20,Online,0,0,0,99.0,2,Not_Canceled
2193,INN02194,2,1,2,1,Meal Plan 1,0,Room_Type 1,173,2018,9,10,Online,0,0,0,143.1,0,Canceled
36247,INN36248,2,0,0,2,Not Selected,0,Room_Type 1,23,2018,11,18,Online,0,0,0,91.5,1,Canceled
33046,INN33047,2,1,0,3,Meal Plan 1,0,Room_Type 1,151,2018,12,29,Online,0,0,0,143.28,1,Canceled
25952,INN25953,1,0,0,1,Meal Plan 1,0,Room_Type 1,7,2018,8,9,Corporate,0,0,0,65.0,0,Not_Canceled
35209,INN35210,2,0,1,1,Meal Plan 1,0,Room_Type 1,13,2018,5,9,Online,0,0,0,85.47,1,Not_Canceled
7622,INN07623,2,0,0,1,Meal Plan 1,0,Room_Type 4,56,2018,6,4,Online,0,0,0,140.4,0,Canceled
30642,INN30643,2,0,1,0,Meal Plan 1,0,Room_Type 1,1,2018,3,28,Online,0,0,0,101.0,0,Not_Canceled
30321,INN30322,4,0,2,1,Meal Plan 1,0,Room_Type 7,74,2018,12,25,Online,0,0,0,174.42,2,Not_Canceled
31837,INN31838,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,3,2,Online,0,0,0,86.0,0,Not_Canceled
33332,INN33333,2,0,2,1,Meal Plan 2,1,Room_Type 4,30,2018,3,6,Online,0,0,0,140.6,1,Not_Canceled
32642,INN32643,2,0,2,0,Meal Plan 2,0,Room_Type 1,275,2018,4,17,Offline,0,0,0,110.0,0,Canceled
30276,INN30277,1,0,0,2,Meal Plan 1,0,Room_Type 1,58,2018,1,27,Offline,0,0,0,81.0,0,Not_Canceled
30055,INN30056,2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Offline,0,0,0,130.0,0,Canceled
14891,INN14892,2,0,2,2,Meal Plan 1,0,Room_Type 2,108,2018,4,16,Online,0,0,0,75.76,0,Not_Canceled
12282,INN12283,1,0,2,3,Meal Plan 1,0,Room_Type 1,359,2018,10,14,Offline,0,0,0,70.0,0,Not_Canceled
22107,INN22108,2,0,0,1,Meal Plan 1,0,Room_Type 1,118,2017,8,20,Offline,0,0,0,63.75,0,Canceled
33929,INN33930,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,2018,2,22,Corporate,1,0,1,65.0,0,Not_Canceled
35726,INN35727,1,0,2,3,Not Selected,0,Room_Type 1,16,2018,11,6,Online,0,0,0,155.6,2,Not_Canceled
16659,INN16660,1,0,0,3,Meal Plan 1,0,Room_Type 1,308,2018,11,23,Online,0,0,0,78.3,1,Canceled
2669,INN02670,2,0,1,2,Meal Plan 1,0,Room_Type 4,14,2017,10,30,Offline,0,0,0,98.67,1,Not_Canceled
25164,INN25165,3,0,1,3,Meal Plan 1,0,Room_Type 4,40,2018,12,22,Online,0,0,0,135.4,2,Not_Canceled
24129,INN24130,3,0,1,3,Meal Plan 1,0,Room_Type 1,5,2018,1,28,Online,0,0,0,130.0,0,Not_Canceled
19855,INN19856,2,0,2,1,Not Selected,0,Room_Type 1,17,2018,3,5,Online,0,0,0,84.33,2,Not_Canceled
12691,INN12692,2,0,0,3,Meal Plan 1,0,Room_Type 1,90,2018,12,21,Online,0,0,0,93.6,1,Not_Canceled
33714,INN33715,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115.0,1,Canceled
16175,INN16176,2,0,2,2,Meal Plan 1,0,Room_Type 1,17,2018,6,18,Online,0,0,0,141.0,2,Not_Canceled
25905,INN25906,2,0,2,5,Meal Plan 1,0,Room_Type 4,298,2018,10,9,Online,0,0,0,79.59,1,Not_Canceled
25196,INN25197,2,0,0,3,Meal Plan 1,0,Room_Type 4,81,2018,9,8,Online,0,0,0,149.4,1,Canceled
22840,INN22841,2,2,1,2,Meal Plan 1,0,Room_Type 6,3,2018,11,18,Online,0,0,0,178.67,2,Not_Canceled
10792,INN10793,2,0,0,1,Meal Plan 1,0,Room_Type 1,42,2017,9,24,Offline,0,0,0,85.0,1,Not_Canceled
10818,INN10819,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,2018,6,12,Offline,0,0,0,120.0,0,Canceled
5151,INN05152,2,0,1,2,Not Selected,0,Room_Type 1,27,2018,10,17,Online,0,0,0,119.0,0,Canceled
34506,INN34507,2,0,2,5,Not Selected,0,Room_Type 1,117,2018,11,4,Online,0,0,0,126.0,1,Canceled
30666,INN30667,1,0,0,1,Meal Plan 1,0,Room_Type 1,32,2018,11,4,Online,0,0,0,124.0,1,Canceled
16775,INN16776,1,2,1,2,Meal Plan 1,0,Room_Type 1,9,2017,8,17,Online,0,0,0,153.0,2,Not_Canceled
6831,INN06832,2,0,0,1,Meal Plan 1,0,Room_Type 1,24,2018,6,23,Online,0,0,0,101.0,1,Not_Canceled
23187,INN23188,2,0,0,1,Meal Plan 2,0,Room_Type 1,83,2017,9,30,Offline,0,0,0,112.2,0,Not_Canceled
16202,INN16203,1,0,0,1,Meal Plan 1,0,Room_Type 1,3,2018,1,21,Corporate,0,0,0,66.0,0,Not_Canceled
25507,INN25508,2,0,0,2,Meal Plan 1,0,Room_Type 1,24,2017,9,3,Online,0,0,0,80.85,1,Not_Canceled
28313,INN28314,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105.0,0,Not_Canceled
7097,INN07098,2,0,0,3,Meal Plan 1,0,Room_Type 1,15,2018,11,29,Online,0,0,0,106.33,2,Not_Canceled
27639,INN27640,1,1,0,0,Meal Plan 1,0,Room_Type 2,22,2018,11,26,Complementary,0,0,0,0.0,1,Not_Canceled
28686,INN28687,2,0,2,3,Meal Plan 2,0,Room_Type 1,206,2018,9,23,Online,0,0,0,132.77,0,Canceled
32104,INN32105,3,0,0,3,Meal Plan 1,0,Room_Type 4,47,2018,11,16,Online,0,0,0,126.0,0,Canceled
22199,INN22200,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,2017,9,4,Online,0,0,0,124.0,2,Not_Canceled
2184,INN02185,2,0,0,1,Meal Plan 1,0,Room_Type 4,31,2018,10,7,Online,0,0,0,157.5,3,Not_Canceled
3487,INN03488,2,0,0,2,Meal Plan 1,0,Room_Type 1,8,2018,2,5,Online,0,0,0,93.0,1,Not_Canceled
31437,INN31438,2,0,0,1,Meal Plan 1,0,Room_Type 4,26,2018,4,13,Online,0,0,0,126.0,1,Not_Canceled
31166,INN31167,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,6,17,Online,0,0,0,141.0,1,Not_Canceled
24008,INN24009,2,0,2,1,Meal Plan 2,0,Room_Type 1,5,2017,8,15,Offline,0,0,0,94.5,0,Not_Canceled
4073,INN04074,2,0,1,3,Not Selected,0,Room_Type 1,18,2018,11,7,Offline,0,0,0,66.25,0,Not_Canceled
6162,INN06163,2,0,1,2,Meal Plan 1,0,Room_Type 4,94,2018,4,15,Online,0,0,0,90.08,0,Not_Canceled
18444,INN18445,2,0,1,1,Meal Plan 1,0,Room_Type 4,10,2018,5,9,Online,0,0,0,126.0,1,Not_Canceled
9651,INN09652,2,0,0,3,Meal Plan 1,0,Room_Type 1,12,2017,8,5,Corporate,0,0,0,65.0,0,Not_Canceled
6242,INN06243,2,0,1,3,Meal Plan 1,0,Room_Type 4,4,2018,9,12,Online,0,0,0,179.0,1,Not_Canceled
31548,INN31549,2,0,2,2,Meal Plan 2,0,Room_Type 1,175,2018,7,24,Online,0,0,0,123.25,1,Canceled
2045,INN02046,1,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,90.0,0,Not_Canceled
5833,INN05834,2,0,1,2,Not Selected,0,Room_Type 1,36,2018,10,28,Online,0,0,0,109.0,1,Not_Canceled
4770,INN04771,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,10,21,Online,0,0,0,145.0,0,Not_Canceled
30061,INN30062,2,1,0,1,Not Selected,0,Room_Type 1,31,2017,12,19,Online,0,0,0,51.97,1,Not_Canceled
9656,INN09657,2,0,2,5,Not Selected,0,Room_Type 1,168,2018,7,2,Online,0,0,0,62.18,1,Not_Canceled
9409,INN09410,2,0,0,3,Meal Plan 1,0,Room_Type 1,197,2018,8,25,Offline,0,0,0,112.0,0,Canceled
22781,INN22782,1,0,0,2,Meal Plan 1,0,Room_Type 1,86,2017,9,24,Offline,0,0,0,87.5,0,Not_Canceled
12775,INN12776,2,0,2,6,Meal Plan 1,0,Room_Type 1,185,2018,8,10,Online,0,0,0,99.45,1,Not_Canceled
27784,INN27785,2,0,2,3,Not Selected,0,Room_Type 1,18,2018,6,30,Online,0,0,0,139.0,1,Not_Canceled
30367,INN30368,1,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,2,28,Offline,0,0,0,60.0,0,Canceled
25261,INN25262,1,0,1,2,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled
18623,INN18624,2,0,0,4,Not Selected,0,Room_Type 1,205,2018,10,18,Online,0,0,0,85.5,2,Canceled
17181,INN17182,1,0,1,0,Not Selected,0,Room_Type 1,52,2018,8,28,Online,0,0,0,118.0,1,Canceled
3331,INN03332,2,0,0,3,Meal Plan 2,0,Room_Type 1,88,2018,5,3,Offline,0,0,0,117.0,1,Not_Canceled
11840,INN11841,2,0,0,1,Meal Plan 1,0,Room_Type 1,47,2018,10,27,Online,0,0,0,128.0,1,Not_Canceled
12789,INN12790,2,1,0,3,Meal Plan 1,0,Room_Type 1,1,2018,3,17,Online,0,0,0,119.67,2,Not_Canceled
9605,INN09606,2,0,2,1,Meal Plan 1,0,Room_Type 1,92,2018,6,26,Offline,0,0,0,80.75,1,Not_Canceled
2783,INN02784,2,0,1,4,Meal Plan 1,0,Room_Type 1,8,2018,11,2,Online,0,0,0,115.6,1,Not_Canceled
33785,INN33786,2,0,1,2,Meal Plan 1,0,Room_Type 1,68,2018,4,11,Offline,0,0,0,75.0,1,Not_Canceled
29900,INN29901,2,0,1,3,Meal Plan 1,0,Room_Type 4,229,2018,7,4,Online,0,0,0,116.95,0,Canceled
34715,INN34716,2,0,0,2,Meal Plan 1,0,Room_Type 1,1,2017,10,14,Offline,0,0,0,100.8,0,Not_Canceled
34838,INN34839,2,0,2,5,Meal Plan 1,0,Room_Type 1,189,2018,8,6,Online,0,0,0,99.45,1,Canceled
22516,INN22517,2,2,2,2,Meal Plan 2,0,Room_Type 6,15,2018,6,19,Online,0,0,0,278.0,2,Not_Canceled
7654,INN07655,2,0,1,1,Meal Plan 1,0,Room_Type 1,7,2018,6,13,Online,0,0,0,77.77,1,Not_Canceled
27666,INN27667,1,0,1,2,Meal Plan 1,0,Room_Type 1,1,2018,5,6,Corporate,0,0,0,105.0,0,Not_Canceled
15478,INN15479,2,0,0,3,Meal Plan 1,0,Room_Type 1,87,2018,6,9,Online,0,0,0,97.71,0,Canceled
4909,INN04910,2,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,2,10,Corporate,0,0,0,71.0,0,Not_Canceled
36064,INN36065,1,0,0,1,Meal Plan 1,0,Room_Type 1,108,2018,4,28,Online,0,0,0,67.15,0,Not_Canceled
5412,INN05413,2,0,2,5,Meal Plan 1,0,Room_Type 4,69,2018,4,14,Online,0,0,0,110.99,1,Canceled
22642,INN22643,2,0,2,3,Meal Plan 1,0,Room_Type 2,284,2018,10,16,Online,0,0,0,81.82,0,Canceled
25856,INN25857,3,0,1,2,Meal Plan 1,0,Room_Type 4,220,2018,9,16,Offline,0,0,0,115.6,1,Canceled
15975,INN15976,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled
15028,INN15029,2,0,0,2,Meal Plan 1,0,Room_Type 2,169,2018,8,18,Online,0,0,0,97.54,2,Not_Canceled
11887,INN11888,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,115.0,1,Canceled
25071,INN25072,3,0,0,4,Meal Plan 1,0,Room_Type 4,86,2018,7,27,Online,0,0,0,139.95,0,Canceled
11571,INN11572,0,2,0,4,Meal Plan 1,0,Room_Type 2,53,2018,11,29,Online,0,0,0,77.86,2,Not_Canceled
23653,INN23654,2,0,0,1,Meal Plan 1,0,Room_Type 4,37,2018,12,30,Online,0,0,0,146.0,1,Not_Canceled
20198,INN20199,0,2,2,2,Meal Plan 1,0,Room_Type 2,62,2018,9,4,Online,0,0,0,96.23,0,Canceled
23941,INN23942,2,0,1,2,Meal Plan 1,0,Room_Type 4,189,2018,10,28,Online,0,0,0,109.8,0,Canceled
24491,INN24492,1,0,1,0,Meal Plan 2,0,Room_Type 1,4,2018,3,7,Offline,0,0,0,92.0,0,Not_Canceled
7019,INN07020,1,0,1,1,Not Selected,0,Room_Type 1,62,2018,11,7,Online,0,0,0,143.2,0,Not_Canceled
21807,INN21808,2,0,2,2,Meal Plan 1,0,Room_Type 1,242,2017,11,22,Online,0,0,0,72.25,1,Not_Canceled
15839,INN15840,2,0,0,1,Meal Plan 1,0,Room_Type 1,162,2018,8,27,Online,0,0,0,96.3,0,Canceled
19910,INN19911,2,0,0,3,Not Selected,0,Room_Type 1,52,2018,4,12,Online,0,0,0,94.5,0,Canceled
13381,INN13382,1,0,0,1,Meal Plan 1,0,Room_Type 1,105,2018,9,28,Corporate,1,1,4,65.0,0,Not_Canceled
33239,INN33240,2,0,0,4,Meal Plan 1,0,Room_Type 1,51,2018,11,16,Offline,0,0,0,75.0,0,Not_Canceled
21467,INN21468,2,0,2,4,Meal Plan 1,0,Room_Type 1,228,2018,8,27,Online,0,0,0,90.95,0,Canceled
30422,INN30423,2,0,0,3,Meal Plan 1,0,Room_Type 4,124,2018,10,25,Online,0,0,0,104.4,0,Canceled
15340,INN15341,2,0,1,0,Meal Plan 1,0,Room_Type 1,5,2018,8,21,Online,0,0,0,167.0,0,Canceled
23334,INN23335,2,0,0,1,Meal Plan 1,0,Room_Type 1,184,2018,4,30,Online,0,0,0,118.0,1,Canceled
25268,INN25269,1,0,0,2,Meal Plan 1,0,Room_Type 1,103,2018,4,19,Offline,0,0,0,115.0,0,Canceled
18346,INN18347,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,11,2,Corporate,1,0,3,65.0,0,Not_Canceled
5992,INN05993,1,0,1,1,Meal Plan 1,0,Room_Type 4,32,2017,10,24,Online,0,0,0,136.0,1,Not_Canceled
10987,INN10988,2,0,0,3,Meal Plan 1,0,Room_Type 1,2,2018,1,7,Online,0,0,0,96.0,1,Not_Canceled
1579,INN01580,2,0,1,1,Meal Plan 2,0,Room_Type 5,96,2017,9,28,Online,0,0,0,138.0,0,Canceled
14795,INN14796,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105.0,0,Not_Canceled
15544,INN15545,2,0,2,1,Meal Plan 1,0,Room_Type 1,46,2018,5,7,Online,0,0,0,126.9,2,Not_Canceled
30200,INN30201,3,0,1,4,Meal Plan 2,0,Room_Type 4,118,2018,8,1,Online,0,0,0,189.0,2,Not_Canceled
17788,INN17789,2,0,1,2,Meal Plan 1,0,Room_Type 1,21,2018,11,7,Online,0,0,0,200.0,1,Not_Canceled
17351,INN17352,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,1,27,Online,0,0,0,80.0,1,Not_Canceled
7735,INN07736,3,0,2,3,Meal Plan 1,0,Room_Type 4,53,2017,9,26,Offline,0,0,0,167.22,1,Not_Canceled
20832,INN20833,3,0,1,4,Meal Plan 1,0,Room_Type 4,124,2018,8,8,Online,0,0,0,146.7,0,Canceled
32937,INN32938,1,0,0,1,Meal Plan 1,0,Room_Type 4,17,2018,3,9,Corporate,0,0,0,75.0,0,Not_Canceled
26952,INN26953,2,0,1,2,Meal Plan 1,0,Room_Type 4,124,2018,5,6,Online,0,0,0,114.3,1,Not_Canceled
28245,INN28246,2,0,0,4,Meal Plan 1,0,Room_Type 1,323,2018,5,17,Offline,0,0,0,70.0,0,Canceled
18075,INN18076,2,0,1,2,Meal Plan 1,0,Room_Type 1,133,2018,3,11,Offline,0,0,0,84.33,1,Not_Canceled
23972,INN23973,2,0,2,3,Meal Plan 1,0,Room_Type 1,212,2018,5,20,Offline,0,0,0,78.0,0,Not_Canceled
28951,INN28952,1,0,0,3,Meal Plan 1,1,Room_Type 1,1,2018,12,20,Corporate,1,0,8,67.0,1,Not_Canceled
27544,INN27545,3,0,0,1,Meal Plan 1,0,Room_Type 4,26,2018,5,19,Online,0,0,0,177.0,2,Not_Canceled
35429,INN35430,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,101.5,0,Canceled
658,INN00659,2,0,1,2,Meal Plan 1,0,Room_Type 1,48,2018,10,31,Offline,0,0,0,75.0,0,Not_Canceled
19652,INN19653,2,1,1,3,Meal Plan 1,0,Room_Type 1,93,2018,7,14,Online,0,0,0,109.35,0,Canceled
26185,INN26186,2,0,0,2,Meal Plan 1,0,Room_Type 1,20,2018,10,4,Offline,0,0,0,85.0,0,Not_Canceled
12078,INN12079,2,0,2,1,Meal Plan 1,0,Room_Type 4,8,2018,6,18,Online,0,0,0,156.0,1,Not_Canceled
17628,INN17629,2,0,0,3,Meal Plan 1,0,Room_Type 1,304,2018,11,3,Offline,0,0,0,89.0,0,Canceled
16933,INN16934,3,0,1,3,Meal Plan 1,0,Room_Type 4,43,2018,8,29,Online,0,0,0,144.23,0,Not_Canceled
3131,INN03132,2,0,1,3,Meal Plan 1,0,Room_Type 1,5,2018,8,29,Online,0,0,0,139.0,1,Not_Canceled
30157,INN30158,2,0,1,2,Meal Plan 1,0,Room_Type 1,40,2017,10,5,Online,0,0,0,94.5,2,Not_Canceled
35505,INN35506,2,0,0,4,Meal Plan 1,0,Room_Type 2,215,2018,11,30,Online,0,0,0,67.26,0,Canceled
14411,INN14412,1,0,1,0,Meal Plan 1,0,Room_Type 1,5,2017,11,23,Corporate,1,0,2,65.0,0,Not_Canceled
28296,INN28297,2,0,0,3,Meal Plan 1,0,Room_Type 1,43,2018,11,1,Offline,0,0,0,75.0,0,Not_Canceled
24404,INN24405,2,0,2,1,Meal Plan 1,0,Room_Type 1,16,2017,9,13,Online,0,0,0,105.0,2,Not_Canceled
34347,INN34348,1,0,1,3,Not Selected,0,Room_Type 1,56,2018,6,20,Online,0,0,0,80.19,0,Canceled
33533,INN33534,2,0,0,3,Meal Plan 1,0,Room_Type 1,25,2017,10,20,Offline,0,0,0,75.0,0,Not_Canceled
27744,INN27745,2,0,0,1,Meal Plan 1,0,Room_Type 1,40,2018,6,9,Online,0,0,0,108.9,1,Not_Canceled
14569,INN14570,2,0,0,4,Meal Plan 1,0,Room_Type 4,28,2017,11,4,Online,0,0,0,85.59,1,Not_Canceled
5943,INN05944,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,4,18,Corporate,1,0,4,65.0,0,Not_Canceled
6532,INN06533,2,0,2,0,Meal Plan 1,0,Room_Type 1,24,2018,6,12,Online,0,0,0,94.35,3,Not_Canceled
25229,INN25230,2,0,0,2,Meal Plan 1,0,Room_Type 4,21,2017,10,7,Online,0,0,0,117.0,1,Not_Canceled
6345,INN06346,2,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,6,10,Offline,0,0,0,90.67,1,Not_Canceled
32824,INN32825,1,0,2,1,Meal Plan 1,0,Room_Type 1,4,2017,10,18,Corporate,0,0,0,65.0,0,Not_Canceled
26787,INN26788,0,2,2,2,Meal Plan 1,0,Room_Type 2,28,2018,2,5,Online,0,0,0,73.39,1,Not_Canceled
15380,INN15381,2,0,0,2,Meal Plan 1,0,Room_Type 1,57,2018,11,11,Offline,0,0,0,75.0,0,Not_Canceled
28433,INN28434,2,0,0,1,Meal Plan 1,0,Room_Type 1,19,2017,9,19,Online,0,0,0,124.0,2,Not_Canceled
20574,INN20575,1,0,0,4,Meal Plan 1,0,Room_Type 1,5,2018,2,24,Corporate,0,0,0,80.0,0,Not_Canceled
36171,INN36172,2,0,1,2,Meal Plan 2,0,Room_Type 1,315,2018,9,30,Offline,0,0,0,160.0,0,Canceled
18430,INN18431,2,0,0,2,Meal Plan 1,0,Room_Type 1,28,2018,5,19,Corporate,0,0,0,100.0,0,Not_Canceled
18411,INN18412,2,0,1,4,Meal Plan 1,0,Room_Type 4,85,2018,7,13,Online,0,0,0,91.48,1,Not_Canceled
21893,INN21894,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,101.5,0,Not_Canceled
14970,INN14971,2,0,0,4,Meal Plan 1,0,Room_Type 4,117,2018,4,20,Online,0,0,0,99.45,0,Canceled
10971,INN10972,2,0,1,3,Meal Plan 1,0,Room_Type 1,266,2018,12,26,Online,0,0,0,73.95,0,Canceled
31532,INN31533,2,0,0,1,Not Selected,0,Room_Type 1,23,2018,9,8,Online,0,0,0,118.0,0,Canceled
23218,INN23219,1,0,0,1,Meal Plan 1,0,Room_Type 4,0,2017,10,21,Offline,0,0,0,145.0,1,Not_Canceled
6454,INN06455,2,0,1,2,Meal Plan 1,0,Room_Type 1,193,2018,6,20,Online,0,0,0,120.0,0,Canceled
4081,INN04082,2,0,0,2,Meal Plan 1,0,Room_Type 4,6,2018,2,19,Online,0,0,0,107.0,2,Not_Canceled
